district,tier,attempts,target_doors,1,2,3,4,5
1,2,"8,240","11,678",106,107,104,3,2
2,1,"7,196","14,906",43,91,65,3,5
3,2,"7,314","8,581",131,169,116,12,2
4,2,"5,336","9,921",34,75,148,21,3
5,1,"12,884","16,714",260,205,186,16,7
6,2,"9,323","14,304",83,141,212,35,13
7,1,684,"14,334",4,1,2,0,0
8,1,463,"14,529",4,1,4,0,0
9,2,"4,943","13,720",34,25,25,1,0
10,2,"13,043","10,660",49,88,320,17,33
11,2,"15,847","10,602",70,169,383,14,40
12,2,"12,092","10,359",91,152,424,48,62
